ActorName,Lightroot ActorName,Shrine Name,Lightroot Name,Title,Type,Location,Region,Map Layer,In Cave?,Shrine Quest,Shrine Object Map Link,X,Y,Height,Lightroot Object Map Link,Lightroot X,Lightroot Y,Lightroot Height,Shrine Name (Japanese),Lightroot Name (Japanese)
Dungeon101,CheckPoint101,Joniu Shrine,Uinoj Lightroot,Rauru's Blessing,Rauru's Blessing,Lanayru Great Spring,Lanayru,Surface,No,The Ralis Channel Crystal,Joniu Shrine,2918,507,168,Uinoj Lightroot,2918,508,-816,ジョニウの祠,ウニョジの根
Dungeon112,CheckPoint112,O-ogim Shrine,Migo-o Lightroot,Rauru's Blessing,Rauru's Blessing,Lanayru Great Spring,Lanayru,Surface,Yes,The Lanayru Road Crystal,O-ogim Shrine,2755,-1089,113,Migo-o Lightroot,2755,-1088,-570,オオギンの祠,ギオオの根
Dungeon119,CheckPoint119,Kurakat Shrine,Takaruk Lightroot,Rauru's Blessing,Rauru's Blessing,Lanayru Great Spring,Lanayru,Surface,No,Dyeing to Find It,Kurakat Shrine,2361,-510,169,Takaruk Lightroot,2360,-510,-610,クラカタの祠,タカラクの根
Dungeon022,CheckPoint022,Tukarok Shrine,Korakut Lightroot,Forward Force,Puzzle,Lanayru Wetlands,Lanayru,Surface,No,-,Tukarok Shrine,915,-251,47,Korakut Lightroot,915,-251,-502,ツカロクの祠,クロカツの根
Dungeon138,CheckPoint138,Jonsau Shrine,Uasnoj Lightroot,Deep Force,Puzzle,Lanayru Wetlands,Lanayru,Surface,No,-,Jonsau Shrine,1743,17,38,Uasnoj Lightroot,1742,18,-480,ジョンサウの祠,ウサンヨジの根
Dungeon144,CheckPoint144,Morok Shrine,Korom Lightroot,A Bouncy Device,Puzzle,Lanayru Wetlands,Lanayru,Surface,No,-,Morok Shrine,1181,-779,147,Korom Lightroot,1180,-778,-521,モロンクの祠,クンロモの根
Dungeon097,CheckPoint097,Maoikes Shrine,Sekioam Lightroot,Rauru's Blessing,Rauru's Blessing,Lanayru Wetlands,Lanayru,Surface,Yes,-,Maoikes Shrine,2276,147,92,Sekioam Lightroot,2276,149,-522,マオイケスカの祠,カスケイオマの根
Dungeon081,CheckPoint081,Zakusu Shrine,Usukaz Lightroot,Proving Grounds: Ascension,Proving Grounds,Mount Lanayru,Lanayru,Surface,No,The High Spring and the Light Rings,Zakusu Shrine,3526,-1482,181,Usukaz Lightroot,3525,-1482,-633,ザクスクの祠,クスクザの根
Dungeon057,CheckPoint057,Jikais Shrine,Siakij Lightroot,Jailbreak,Puzzle,Mount Lanayru,Lanayru,Surface,No,-,Jikais Shrine,4266,-1673,195,Siakij Lightroot,4267,-1672,-649,ジカイセンの祠,セイカジの根
Dungeon085,CheckPoint085,Sifumim Shrine,Mimufis Lightroot,Proving Grounds: Flow,Proving Grounds,East Necluda,Necluda,Surface,No,-,Sifumim Shrine,2825,-3270,91,Mimufis Lightroot,2825,-3269,-547,シフミミの祠,ミミフシの根
Dungeon012,CheckPoint012,Zanmik Shrine,Kimnaz Lightroot,Scoop It Out,Puzzle,East Necluda,Necluda,Surface,No,-,Zanmik Shrine,3469,-2180,161,Kimnaz Lightroot,3469,-2181,-615,ザンミカカの祠,カカミンザの根
Dungeon027,CheckPoint027,Anedamimik Shrine,Kimimadena Lightroot,A Retraced Path,Puzzle,East Necluda,Necluda,Surface,Yes,-,Anedamimik Shrine,4232,-2178,1,Kimimadena Lightroot,4232,-2177,-542,アネダミミカの祠,カミミダネアの根
Dungeon076,CheckPoint076,Utojis Shrine,Sijotu Lightroot,Rauru's Blessing,Rauru's Blessing,East Necluda,Necluda,Surface,No,Legend of the Soaring Spear,Utojis Shrine,1218,-2543,110,Sijotu Lightroot,1218,-2544,-633,ウトジシの祠,シジトウの根
Dungeon095,CheckPoint095,Mayahisik Shrine,Kisihayam Lightroot,Rauru's Blessing,Rauru's Blessing,East Necluda,Necluda,Surface,Yes,-,Mayahisik Shrine,3729,-2058,202,Kisihayam Lightroot,3728,-2059,-686,マヤヒシカの祠,カシヒヤマの根
Dungeon113,CheckPoint113,Jogou Shrine,Uogoj Lightroot,Rauru's Blessing,Rauru's Blessing,East Necluda,Necluda,Surface,Yes,-,Jogou Shrine,3346,-1186,71,Uogoj Lightroot,3346,-1185,-631,ジョゴウの祠,ウゴヨジの根
Dungeon116,CheckPoint116,Bamitok Shrine,Kotimab Lightroot,Rauru's Blessing,Rauru's Blessing,East Necluda,Necluda,Surface,Yes,-,Bamitok Shrine,3093,-3209,95,Kotimab Lightroot,3092,-3209,-645,バミトカの祠,カトミバの根
Dungeon114,CheckPoint114,Marari-in Shrine,Ni-iraram Lightroot,Rauru's Blessing,Rauru's Blessing,Necluda Sea,Necluda,Surface,Yes,-,Marari-in Shrine,4631,-3712,31,Ni-iraram Lightroot,4630,-3711,-526,マヤリイナの祠,ナイリヤマの根
Dungeon122,CheckPoint122,Eshos Shrine,Sohse Lightroot,Combat Training: Shields,Combat Training,West Necluda,Necluda,Surface,No,-,Eshos Shrine,1565,-1944,171,Sohse Lightroot,1563,-1944,-485,エショセの祠,セヨシエの根
Dungeon135,CheckPoint135,Makasura Shrine,Arusakam Lightroot,An Upright Device,Puzzle,West Necluda,Necluda,Surface,No,-,Makasura Shrine,1769,-1051,179,Arusakam Lightroot,1769,-1052,-629,マカスラの祠,ラスカマの根
Dungeon141,CheckPoint141,Joju-u-u Shrine,U-u-ujoj Lightroot,Building Bridges,Puzzle,West Necluda,Necluda,Surface,No,-,Joju-u-u Shrine,1515,-3577,155,U-u-ujoj Lightroot,1514,-3577,-550,ジョジュウウの祠,ウウユジョジの根
Dungeon107,CheckPoint107,Tokiy Shrine,Yikot Lightroot,Rauru's Blessing,Rauru's Blessing,West Necluda,Necluda,Surface,Yes,The Oakle's Navel Cave Crystal,Tokiy Shrine,2304,-2377,-15,Yikot Lightroot,2303,-2378,-638,トキヨウの祠,ウヨキトの根
Dungeon120,CheckPoint120,Susub Shrine,Busus Lightroot,Rauru's Blessing,Rauru's Blessing,West Necluda,Necluda,Surface,No,-,Susub Shrine,349,-2051,-13,Busus Lightroot,350,-2052,-492,ススビエの祠,エビススの根
Dungeon130,CheckPoint130,Jochisiu Shrine,Uisihcoj Lightroot,Rauru's Blessing,Rauru's Blessing,West Necluda,Necluda,Surface,No,Keys Born of Water,Jochisiu Shrine,930,-1903,43,Uisihcoj Lightroot,930,-1903,-481,ジョチシウの祠,ウシチョジの根
Dungeon099,-,Gikaku Shrine,-,Rauru's Blessing,Rauru's Blessing,Akkala Highlands Sky,Akkala Sky,Sky,No,The Sky Mine Crystal,Gikaku Shrine,4505,2166,1168,-,-,-,-,ギカクンの祠,-
Dungeon110,-,Natak Shrine,-,Rauru's Blessing,Rauru's Blessing,Akkala Highlands Sky,Akkala Sky,Sky,No,The Sokkala Sky Crystal,Natak Shrine,3670,1483,1171,-,-,-,-,ナタカカの祠,-
Dungeon052,-,Mogisari Shrine,-,Courage to Jump,Puzzle,Akkala Sea Sky,Akkala Sky,Sky,No,-,Mogisari Shrine,4655,3499,1024,-,-,-,-,モギサリの祠,-
Dungeon145,-,Jinodok Shrine,-,Rauru's Blessing,Rauru's Blessing,Central Hyrule Sky,Central Hyrule Sky,Sky,No,The South Hyrule Sky Crystal,Jinodok Shrine,-1257,-1486,1021,-,-,-,-,ジノドカオの祠,-
Dungeon082,-,Simosiwak Shrine,-,Proving Grounds: Lights Out,Proving Grounds,Great Hyrule Forest Sky,Central Hyrule Sky,Sky,No,-,Simosiwak Shrine,162,1971,772,-,-,-,-,シモシワカの祠,-
Dungeon149,-,Mayam Shrine,-,Rauru's Blessing,Rauru's Blessing,Great Hyrule Forest Sky,Central Hyrule Sky,Sky,No,The North Hyrule Sky Crystal,Mayam Shrine,340,2814,1834,-,-,-,-,マヤミイの祠,-
Dungeon121,-,Taunhiy Shrine,-,Combat Training: Archery,Combat Training,Hyrule Ridge Sky,Central Hyrule Sky,Sky,No,-,Taunhiy Shrine,-2401,825,628,-,-,-,-,タウンヒヨの祠,-
Dungeon050,-,Kadaunar Shrine,-,Water Makes a Way,Puzzle,Eldin Canyon Sky,Eldin Sky,Sky,No,-,Kadaunar Shrine,1881,1202,1264,-,-,-,-,カダウナリの祠,-
Dungeon071,-,Joku-usin Shrine,-,Proving Grounds: Short Circuit,Proving Grounds,Faron Grasslands Sky,Faron Sky,Sky,No,-,Joku-usin Shrine,1075,-3347,799,-,-,-,-,ジョクウシニの祠,-
Dungeon109,-,Joku-u Shrine,-,Rauru's Blessing,Rauru's Blessing,Faron Grasslands Sky,Faron Sky,Sky,No,-,Joku-u Shrine,1376,-3339,442,-,-,-,-,ジョクウの祠,-
Dungeon015,-,Rakashog Shrine,-,A Reflective Device,Puzzle,Gerudo Highlands Sky,Gerudo Sky,Sky,No,-,Rakashog Shrine,-1715,-2118,1162,-,-,-,-,ラカショゴの祠,-
Dungeon055,-,Siyamotsus Shrine,-,Unlit Blessing,Puzzle,Gerudo Highlands Sky,Gerudo Sky,Sky,No,-,Siyamotsus Shrine,-1795,-3294,1024,-,-,-,-,シヤモツシの祠,-
Dungeon148,-,Mayasiar Shrine,-,Rauru's Blessing,Rauru's Blessing,Gerudo Highlands Sky,Gerudo Sky,Sky,No,-,Mayasiar Shrine,-3546,-320,1978,-,-,-,-,マヤシアラの祠,-
Dungeon034,-,Tenbez Shrine,-,Gravity and Velocity,Puzzle,Hebra Mountains Sky,Hebra Sky,Sky,No,-,Tenbez Shrine,-970,3535,1025,-,-,-,-,テンベザイの祠,-
Dungeon038,-,Ijo-o Shrine,-,More than Defense,Puzzle,Hebra Mountains Sky,Hebra Sky,Sky,No,-,Ijo-o Shrine,-3861,2681,716,-,-,-,-,イジョオの祠,-
Dungeon043,-,Mayaumekis Shrine,-,Downward Force,Puzzle,Hebra Mountains Sky,Hebra Sky,Sky,No,-,Mayaumekis Shrine,-2947,3050,910,-,-,-,-,マヤウメキサの祠,-
Dungeon105,-,Kahatanaum Shrine,-,Rauru's Blessing,Rauru's Blessing,Hebra Mountains Sky,Hebra Sky,Sky,No,-,Kahatanaum Shrine,-3296,3431,1361,-,-,-,-,カハタナウメの祠,-
Dungeon151,-,Taninoud Shrine,-,Rauru's Blessing,Rauru's Blessing,Hebra Mountains Sky,Hebra Sky,Sky,No,The East Hebra Sky Crystal,Taninoud Shrine,-1802,3406,962,-,-,-,-,タニノウダの祠,-
Dungeon117,-,Ganos Shrine,-,Rauru's Blessing,Rauru's Blessing,Tabantha Frontier Sky,Hebra Sky,Sky,No,The Tabantha Sky Crystal,Ganos Shrine,-3369,467,1708,-,-,-,-,ガノサの祠,-
Dungeon128,-,Ga-ahisas Shrine,-,Rauru's Blessing,Rauru's Blessing,Tabantha Frontier Sky,Hebra Sky,Sky,No,-,Ga-ahisas Shrine,-3596,960,1712,-,-,-,-,ガアヒササの祠,-
Dungeon045,-,Jirutagumac Shrine,-,A Flying Device,Puzzle,Lanayru Great Spring Sky,Lanayru Sky,Sky,No,-,Jirutagumac Shrine,2915,534,964,-,-,-,-,ジルタグマチの祠,-
Dungeon069,-,Igoshon Shrine,-,Orbs of Water,Puzzle,Lanayru Great Spring Sky,Lanayru Sky,Sky,No,-,Igoshon Shrine,3480,665,1339,-,-,-,-,イゴションの祠,-
Dungeon146,-,Sihajog Shrine,-,Rauru's Blessing,Rauru's Blessing,Lanayru Great Spring Sky,Lanayru Sky,Sky,No,-,Sihajog Shrine,4545,-846,1134,-,-,-,-,シハジョゴウの祠,-
Dungeon066,-,Mayanas Shrine,-,The Ice Guides You,Puzzle,Lanayru Sea Sky,Lanayru Sky,Sky,No,The South Lanayru Sky Crystal,Mayanas Shrine,4613,-947,1803,-,-,-,-,マヤナシの祠,-
Dungeon083,-,Yansamin Shrine,-,Proving Grounds: Low Gravity,Proving Grounds,East Necluda Sky,Necluda Sky,Sky,No,-,Yansamin Shrine,2350,-1782,1489,-,-,-,-,ヤンサミノの祠,-
Dungeon093,-,Kumamayn Shrine,-,Rauru's Blessing,Rauru's Blessing,East Necluda Sky,Necluda Sky,Sky,No,The Necluda Sky Crystal,Kumamayn Shrine,2856,-2856,1225,-,-,-,-,クママイノの祠,-
Dungeon127,-,Josiu Shrine,-,Rauru's Blessing,Rauru's Blessing,West Necluda Sky,Necluda Sky,Sky,No,The North Necluda Sky Crystal,Josiu Shrine,1758,-1208,937,-,-,-,-,ジョシウの祠,-
Dungeon150,-,Ukoojisi Shrine,-,Rauru's Blessing,Rauru's Blessing,West Necluda Sky,Necluda Sky,Sky,No,The West Necluda Sky Crystal,Ukoojisi Shrine,1468,-2168,599,-,-,-,-,ウコオジシの祠,-
